round_number,duel_id,timestamp,oliver_guess,viggo_guess,us_score,best_opponent_guess,opponent_score,country_code,round_location,state
1,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"33.39443422626388, -82.45312625516561","34.303489792661736, -89.5437910994821",2320,"42.945533844942084, -72.65994843916593",4669,us,"42.63540035495173, -71.15984004153545",NM
2,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"-4.07475288814267, 119.83651854192738","11.224031381668418, 122.83573914907258",2527,"-2.0560941062270652, 103.12478761323544",3388,id,"0.10618294882938405, 109.24446180431963",NM
3,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"0.887906568241765, 35.193660358030634","-0.8184011185497565, 35.468440166633926",4684,"-0.6272037229478731, 35.49782463002991",4660,ke,"-1.0533066680102952, 34.40362294708891",NM
4,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"49.934215737584985, 31.237761648158585","47.789888551493725, 35.14132810797099",4327,"47.57992243554598, 30.643663552452292",4253,ua,"49.38248184347973, 27.61085436447984",NM
5,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"35.69145909985737, 137.85720592244226","33.559073053778725, 132.8167351241206",4433,"35.02966235308286, 136.19158880934233",4629,jp,"34.892342032116694, 134.63112526098584",NM
6,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"12.582193437601653, 122.27584413787756","11.952422629007923, 121.93426833398004",4380,"9.854246429896511, 124.13200239574007",4633,ph,"11.120940476468647, 124.02122669044222",NM
7,7c5126b5-93b4-4a30-ad5f-dc5f0807051d,2024-10-05 22:56:31,"-18.756230614374548, -52.50902028533428","12.398051242936244, 104.07521908372112",3585,"-16.88053719174155, -49.519257682021426",0,th,"17.93892931140704, 103.86281707420504",NM
1,7b83e861-9bd9-457e-8c23-e133fc02c209,2024-10-05 22:48:58,"62.493110255585336, 16.263108615435033","60.38302268349815, 15.682285202428732",3840,"65.50883728696876, 17.67874418744713",4551,se,"66.44545480438485, 20.76844316845028",NM
2,7b83e861-9bd9-457e-8c23-e133fc02c209,2024-10-05 22:48:58,"-26.956385776445124, 29.440039677438037","-25.262138464863014, 29.617794130146223",69,"-36.482814221577925, 148.02688012137517",6,br,"-27.487522149579195, -52.62423041602658",NM
3,7b83e861-9bd9-457e-8c23-e133fc02c209,2024-10-05 22:48:58,"-31.105640300675386, -70.97946058682655","-13.149307938825538, -73.86465053062635",3303,"-26.759351001808675, -65.4108714260042",2336,cl,"-37.87388129064711, -72.68250674994093",NM
